FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,ImageURL
6,6,18,20,Corn fritter,"Ma�s, beignet",1981-01-01,,,,https://media.istockphoto.com/id/174877548/photo/vegetable-burgers.jpg?s=612x612&w=0&k=20&c=KYMeZQ9m6_NJ6xpHOB4sNwXRM5WwiMXir50hK4Y4Xcw=
14,14,2,0,White vinegar,"Vinaigre, distill� (blanc)",1981-01-01,,2053,,https://thebulkcellar.com.au/cdn/shop/products/Vinegar.png
18,18,1,3,Blue cheese,Fromage bleu,1981-01-01,,1004,,https://img.freepik.com/premium-photo/blue-cheese-isolated-white-background-triangular-piece-gorgonzola-cheese-clipping-path-full-depth-field_301558-963.jpg
20,20,1,0,Brie ,Fromage brie,1981-01-01,,1006,,https://media.istockphoto.com/id/1293584033/photo/fresh-brie-cheese-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=Kvv5knrTY42QOy5ynANxEHRXffXaXpTWutU4J-lscjI=
21,21,1,0,Camembert,Fromage camembert,1981-01-01,,1007,,https://media.istockphoto.com/id/92401177/photo/soft-cheese.jpg?s=612x612&w=0&k=20&c=I_gpF9vLBqfikWV_7pVfKB3XgRqbMe2a1J7nEJynaSk=
22,22,1,0,Caraway cheese,Fromage carvi,1981-01-01,,1008,,https://www.shutterstock.com/image-photo/caraway-cheese-isolated-on-white-600nw-2215340171.jpg
23,23,1,0,Cheshire cheese,Fromage cheshire,1981-01-01,,1010,,https://orchardleafoods.co.uk/wp-content/uploads/2021/05/1030108.jpg
24,24,1,0,Colby cheese,Fromage colby,1981-01-01,,1011,,https://media.istockphoto.com/id/1149133286/photo/cubes-of-colby-cheese-isolated-on-white.jpg?s=612x612&w=0&k=20&c=v1-L0xpnuyaO7SiAI_-msHAvDMKv6Ljzio-xQkwTPD0=
28,28,1,3,Cream cheese,Fromage � la cr�me,1981-01-01,,1017,,https://media.istockphoto.com/id/1400138219/photo/fresh-cream-cheese.jpg?s=612x612&w=0&k=20&c=hXS6xAYSmkz5Frae-AXej739arGh9UraeOl75GutouQ=
29,29,1,0,Edam,Fromage edam,1981-01-01,,1018,,https://media.istockphoto.com/id/176994963/photo/edam-cheese-slice-over-white.jpg?s=612x612&w=0&k=20&c=QGR_zKFVCL4OWkZRRwge3zdYpRK7z6R0SmZNJyfelrM=
30,30,1,0,Fontina,Fromage fontina,1981-01-01,,1020,,https://media.istockphoto.com/id/1401786351/photo/fontina-cheese-slice.jpg?s=612x612&w=0&k=20&c=nzUoqVKJOGBGTjc_FXSvi_xgnwibPwyHVnqHjLjLObE=
31,31,1,0,Gjetost,Fromage gjetost,1981-01-01,,1021,,https://www.thespruceeats.com/thmb/owbxRYFUgWr8ps3ab801IJBuQGg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/slices-of-norwegian-gjetost-goat-or-cow-s-milk-cheese-93605298-5a9ebdc1ff1b78003697b9bc.jpg
32,32,1,0,Gruyere ,Fromage gruy�re,1981-01-01,,1023,,https://media.istockphoto.com/id/136361888/photo/piece-of-swiss-gruyere-cheese-and-slices.jpg?s=612x612&w=0&k=20&c=sTED1h9ewWW5jv8a1WnvsMD0RgUTxQvIVbPQ3qMwjEg=
33,33,1,3,Limburger,Fromage limburger (limbourg),1981-01-01,,1024,,https://media.istockphoto.com/id/1140756919/photo/cheeseboard-with-sliced-yellow-limburger-cheese-close-up.jpg?s=612x612&w=0&k=20&c=PdZ-0CwlDGnZsLrdWBYSWJqjgZqqL37Ev2cS4-BmX-s=
34,34,1,3,Monterey,Fromage monterey,1981-01-01,,1025,,https://media.istockphoto.com/id/1143586297/photo/marble-cheese-on-a-white-background-triangle-of-cheese-close-up.jpg?s=612x612&w=0&k=20&c=J-AfrPkWZlnNKS5bN7R4VvhWiKgsM9YMBAVLZHpbT8A=
35,35,1,0,Mozzarella,"Fromage mozzarella (48%d'humidit�, 25% M.G.)",1981-01-01,,1027,,https://media.istockphoto.com/id/1341216531/photo/italian-buffalo-mozzarella-isolated-on-white-background.jpg?s=612x612&w=0&k=20&c=XQz0A6v068OgIbX3ms2OcBjuHNzC3WYMKi7Zv7mD7IM=
